clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 041.mp4,17795,,,DEFENSE,EDGE,DE (down),0.006,False,True,0.067,Elite,0.013,,Elite
End Zone - Clip 041.mp4,17803,,,DEFENSE,EDGE,OLB (up),0.046,False,False,0.267,Above Average,,,Above Average
End Zone - Clip 041.mp4,17751,,,DEFENSE,DL,0-tech (Nose),0.017,True,True,0.634,Developmental,0.011,,Below Average
End Zone - Clip 043.mp4,18208,,,DEFENSE,CB,Off (5-7 yards),0.107,False,False,0.033,Elite,,0.018,Elite
End Zone - Clip 043.mp4,18226,,,DEFENSE,S,Deep half,0.222,True,False,,,,0.001,Average
End Zone - Clip 044.mp4,18562,,,DEFENSE,DL,5-tech,0.009,True,True,0.100,Elite,0.039,,Elite
End Zone - Clip 044.mp4,18547,,,DEFENSE,DL,0-tech (Nose),0.029,True,True,0.200,Above Average,,,Above Average
End Zone - Clip 044.mp4,18526,,,DEFENSE,EDGE,OLB (up),0.037,True,False,0.067,Elite,,,Elite
End Zone - Clip 044.mp4,18594,,,DEFENSE,EDGE,OLB (up),0.033,False,False,0.033,Elite,,,Elite
End Zone - Clip 044.mp4,18648,,,DEFENSE,DL,0-tech (Nose),0.009,True,True,0.033,Elite,0.025,,Elite
End Zone - Clip 044.mp4,18661,,,DEFENSE,EDGE,DE (down),0.005,True,True,0.100,Elite,0.061,,Elite
End Zone - Clip 045.mp4,18962,,,DEFENSE,S,Free Safety (centerfield),0.359,True,False,0.434,Average,,0.028,Average
End Zone - Clip 045.mp4,18967,,,DEFENSE,LB,MIKE (middle),0.053,True,False,0.500,Below Average,,,Below Average
End Zone - Clip 045.mp4,19062,,,DEFENSE,LB,SAM (strong),0.072,True,False,0.133,Elite,,,Elite
End Zone - Clip 045.mp4,19083,,,DEFENSE,LB,WILL (weak),0.071,True,False,0.234,Elite,,,Elite
End Zone - Clip 045.mp4,19084,,,DEFENSE,S,Strong Safety,0.213,True,False,0.167,Elite,,0.025,Elite
End Zone - Clip 045.mp4,19085,,,DEFENSE,EDGE,DE (down),0.008,False,True,0.067,Elite,,,Elite
End Zone - Clip 045.mp4,19104,,,DEFENSE,DL,5-tech,0.025,True,True,0.167,Elite,,,Elite
End Zone - Clip 046.mp4,19327,,,DEFENSE,EDGE,DE (down),0.021,False,True,0.067,Elite,,,Elite
End Zone - Clip 046.mp4,19428,,,DEFENSE,S,Deep half,0.320,False,False,0.167,Elite,,0.034,Elite
End Zone - Clip 046.mp4,19431,,,DEFENSE,CB,Press,0.066,False,False,0.133,Elite,,0.059,Elite
End Zone - Clip 046.mp4,19432,,,DEFENSE,EDGE,DE (down),0.028,True,True,0.434,Below Average,0.061,,Below Average
End Zone - Clip 046.mp4,19438,,,DEFENSE,LB,MIKE (middle),0.045,True,False,0.167,Elite,,,Elite
End Zone - Clip 046.mp4,19439,,,DEFENSE,DL,3-tech,0.014,True,True,0.367,Average,0.038,,Average
End Zone - Clip 046.mp4,19470,,,DEFENSE,DL,3-tech,0.015,True,True,0.167,Elite,,,Elite
End Zone - Clip 046.mp4,19477,,,DEFENSE,DL,1-tech,0.018,True,True,,,,,Average
End Zone - Clip 046.mp4,19484,,,DEFENSE,EDGE,DE (down),0.027,False,True,0.133,Elite,,,Elite
End Zone - Clip 046.mp4,19502,,,DEFENSE,DL,0-tech (Nose),0.022,True,True,0.234,Above Average,,,Above Average
End Zone - Clip 046.mp4,19503,,,DEFENSE,DL,1-tech,0.015,True,True,0.067,Elite,,,Elite
End Zone - Clip 048.mp4,20075,,,DEFENSE,LB,WILL (weak),0.054,True,False,0.067,Elite,,,Elite
End Zone - Clip 048.mp4,20096,78,,DEFENSE,DL,5-tech,0.071,True,False,0.234,Above Average,,,Above Average
End Zone - Clip 048.mp4,20127,,,DEFENSE,SLOT,Nickel/Slot,0.112,False,False,0.133,Elite,,0.046,Elite
End Zone - Clip 048.mp4,20213,,,DEFENSE,EDGE,DE (down),0.014,True,True,0.133,Elite,,,Elite
End Zone - Clip 048.mp4,20246,,,DEFENSE,EDGE,DE (down),0.024,True,True,0.100,Elite,,,Elite
