clip_file,track_id,jersey_number,player_name,team_name,inferred_position,alignment,depth_from_los,in_box,on_line,first_step_sec,first_step_grade,penetration_depth,lateral_movement,defensive_grade
End Zone - Clip 029.mp4,9694,,,DEFENSE,EDGE,DE (down),0.011,False,True,0.834,Developmental,,,Below Average
End Zone - Clip 029.mp4,9693,,,DEFENSE,EDGE,OLB (up),0.049,True,False,2.102,Developmental,,,Below Average
End Zone - Clip 029.mp4,9697,,,DEFENSE,LB,WILL (weak),0.053,True,False,0.033,Elite,,,Elite
End Zone - Clip 029.mp4,9713,,,DEFENSE,LB,SAM (strong),0.132,True,False,0.067,Elite,,,Elite
End Zone - Clip 029.mp4,9718,,,DEFENSE,LB,SAM (strong),0.039,True,False,2.069,Developmental,,,Below Average
End Zone - Clip 029.mp4,9734,,,DEFENSE,EDGE,DE (down),0.005,True,True,2.102,Developmental,,,Below Average
End Zone - Clip 029.mp4,9735,,,DEFENSE,LB,WILL (weak),0.040,True,False,2.402,Developmental,,,Below Average
End Zone - Clip 030.mp4,9679,,,DEFENSE,S,Strong Safety,0.263,True,False,0.901,Developmental,,0.012,Below Average
End Zone - Clip 030.mp4,9692,,,DEFENSE,EDGE,DE (down),0.010,False,True,0.400,Below Average,0.008,,Below Average
End Zone - Clip 030.mp4,9752,,,DEFENSE,EDGE,OLB (up),0.033,False,False,0.767,Developmental,,,Below Average
End Zone - Clip 030.mp4,9753,,,DEFENSE,EDGE,OLB (up),0.035,False,False,0.100,Elite,0.006,,Elite
End Zone - Clip 030.mp4,9763,,,DEFENSE,EDGE,OLB (up),0.047,True,False,0.100,Elite,,,Elite
End Zone - Clip 030.mp4,9794,,,DEFENSE,LB,SAM (strong),0.066,True,False,0.367,Average,,,Average
End Zone - Clip 030.mp4,9808,,,DEFENSE,LB,WILL (weak),0.052,True,False,0.100,Elite,,,Elite
End Zone - Clip 030.mp4,9816,,,DEFENSE,EDGE,OLB (up),0.037,False,False,0.167,Elite,0.032,,Elite
End Zone - Clip 030.mp4,9823,,,DEFENSE,DL,0-tech (Nose),0.016,True,True,0.067,Elite,0.009,,Elite
End Zone - Clip 031.mp4,10043,,,DEFENSE,LB,SAM (strong),0.101,True,False,0.133,Elite,,,Elite
End Zone - Clip 031.mp4,10095,,,DEFENSE,LB,SAM (strong),0.114,True,False,0.367,Average,,,Average
End Zone - Clip 031.mp4,10097,,,DEFENSE,CB,Deep,0.246,False,False,0.167,Elite,,0.050,Elite
End Zone - Clip 031.mp4,10051,,,DEFENSE,LB,WILL (weak),0.150,True,False,0.100,Elite,,,Elite
End Zone - Clip 031.mp4,10116,,,DEFENSE,LB,MIKE (middle),0.090,True,False,0.200,Elite,,,Elite
End Zone - Clip 033.mp4,10581,,,DEFENSE,S,Strong Safety,0.265,True,False,,,,0.002,Average
End Zone - Clip 033.mp4,10573,,,DEFENSE,EDGE,OLB (up),0.032,False,False,8.241,Developmental,,,Below Average
End Zone - Clip 033.mp4,10539,,,DEFENSE,DL,3-tech,0.014,True,True,,,,,Average
End Zone - Clip 033.mp4,10609,,,DEFENSE,EDGE,OLB (up),0.049,True,False,8.141,Developmental,,,Below Average
End Zone - Clip 033.mp4,10629,,,DEFENSE,EDGE,DE (down),0.026,False,True,,,,,Average
End Zone - Clip 035.mp4,11151,,,DEFENSE,EDGE,DE (down),0.042,False,False,0.267,Above Average,0.046,,Above Average
End Zone - Clip 035.mp4,11141,,,DEFENSE,EDGE,DE (down),0.006,False,True,0.601,Developmental,0.016,,Below Average
End Zone - Clip 035.mp4,11119,,,DEFENSE,EDGE,DE (down),0.027,True,True,0.100,Elite,0.022,,Elite
End Zone - Clip 035.mp4,11188,,,DEFENSE,LB,MIKE (middle),0.044,True,False,0.200,Elite,,,Elite
