DN,DIST,PLAY TYPE,RESULT,GN/LS,ODK,YARD LN,HASH,SERIES,OFF STR,OFF FORM,OFF PLAY,PLAY DIR,GAP,DEF STR,DEF FRONT,BLITZ,COVERAGE,KICK YARDS,RET YARDS,PENALTY,2 MIN,TEAM,OPP TEAM,PLAY #,QTR,PASS ZONE,PERSONNEL,MOTION,MOTION DIR,PASSER_Jersey,PASSER_Name,RECEIVER_Jersey,RECEIVER_Name,TACKLER1_Jersey,TACKLER1_Name,TACKLER2_Jersey,TACKLER2_Name,RUSHER_Jersey,RUSHER_Name,KEY PLAYER_Jersey,KEY PLAYER_Name,BACKFIELD,EFF,RETURNER_Jersey,RETURNER_Name,KICKER_Jersey,KICKER_Name,RECOVERED BY_Jersey,RECOVERED BY_Name,INTERCEPTED BY_Jersey,INTERCEPTED BY_Name,OPP RUSHER,OPP PASSER,OPP RECEIVER,OPP TACKLER1,OPP TACKLER2,OPP RETURNER,OPP KICKER,OPP RECOVERED BY,OPP INTERCEPTED BY,PROTECTION,TAG,NOTE,COMMENT,STR CALL,WK CALL,DRILL,STUNT,BALL CARRIER,STR ROUTES,WK ROUTES,TE/SE,ST/WK,OPTION,SCORE,16,FIELD / BOUNDARY,Y/N,DUG BACKFIELD,DUG FORMATION,TOO/AWAY,NEAR/FAR,RUN/PASS,FORMATION STRENGTH,FSL,SHIFT,RUN STRENGTH,PASS ROUTE,PASS CHART,PASS RESULT,SCRAMBLE,TRICK,TITLE,ROUTE,PEN YARDS,POSITIVE,CRITICISM,OFFENSIVE FORMATIONS
1,10,Run,Rush,5,O,-38,M,2,R,WISCONSIN RED,,L,,,,,,,,,,,,11,1,,,,,,,,,,,,,20,Aiden O'Neal,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Run,Rush,2,O,-43,L,2,R,WISCONSIN RED,,R,,,,,,,,,,,,12,1,,,,,,,,,,,,,20,Aiden O'Neal,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,Run,Rush,3,O,-45,M,2,R,WISCONSIN RED,,R,,,,,,,,,,,,13,1,,,,R,,,,,,,,,1,Trumar Salette,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,Penalty,-5,O,-48,R,2,R,WISCONSIN RED,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,Pass,Complete,16,O,-43,R,2,R,WISCONSIN RED,,R,,,,,,,,,,,,15,1,,,,,8,Jayvyn Gilchrist,6,Nikkales Allison,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Rush,3,O,41,R,2,,,,L,,,,,,,,,,,,16,1,,,,,,,,,,,,,20,Aiden O'Neal,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,Run,Rush,1,O,38,R,2,R,WISCONSIN RED,,R,,,,,,,,,,,,17,1,,,,,,,,,,,,,32,Jayce williams,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Pass,Incomplete,0,O,37,R,2,BAL,IOWA BLACK,,R,,,,,,,,,,,,18,1,,,,,8,Jayvyn Gilchrist,1,Trumar Salette,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,Pass,Complete,23,O,37,R,2,L,FLA. BLUE,,R,,,,,,,,,,,,19,1,,,,,8,Jayvyn Gilchrist,5,Bryce Rucker,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,Run,Rush,7,O,14,R,2,L,WISCONSIN RED,,L,,,,,,,,,,,,20,1,,,,,,,,,,,,,20,Aiden O'Neal,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
