clip_file,track_id,jersey_number,player_name,roster_position,team,team_name,jersey_color,inferred_position,recognition_latency_sec,recognition_latency_grade,first_step_sec,first_step_grade,post_snap_distance,initial_velocity,sdi_score,sdi_grade
ricky_powers_michigan.mp4,610,,,,michigan,MICHIGAN,,,,,,,0.139,,5027.0,Average
ricky_powers_michigan.mp4,612,,,,michigan,MICHIGAN,,,,,,,0.082,,5016.0,Average
ricky_powers_michigan.mp4,613,,,,michigan,MICHIGAN,,,,,,,0.134,,5026.0,Average
ricky_powers_michigan.mp4,615,,,,michigan,MICHIGAN,,,,,,,0.112,,5022.0,Average
ricky_powers_michigan.mp4,621,,,,michigan,MICHIGAN,,,,,,,0.714,,5142.0,Average
ricky_powers_michigan.mp4,624,,,,michigan,MICHIGAN,,,,,,,0.453,,5090.0,Average
ricky_powers_michigan.mp4,626,,,,michigan,MICHIGAN,,,,,,,0.303,,5060.0,Average
ricky_powers_michigan.mp4,635,,,,michigan,MICHIGAN,,,,,,,0.617,,5123.0,Average
ricky_powers_michigan.mp4,639,,,,michigan,MICHIGAN,,,,,,,0.646,,5129.0,Average
ricky_powers_michigan.mp4,643,,,,michigan,MICHIGAN,,,,,,,0.017,,5003.0,Average
ricky_powers_michigan.mp4,652,,,,michigan,MICHIGAN,,,,,,,0.037,,5007.0,Average
ricky_powers_michigan.mp4,653,,,,michigan,MICHIGAN,,,,,,,0.556,,5111.0,Average
ricky_powers_michigan.mp4,663,,,,michigan,MICHIGAN,,,,,,,0.186,,5037.0,Average
ricky_powers_michigan.mp4,665,,,,michigan,MICHIGAN,,,,,,,0.155,,5031.0,Average
ricky_powers_michigan.mp4,667,,,,michigan,MICHIGAN,,,,,,,0.634,,5126.0,Average
ricky_powers_michigan.mp4,672,,,,michigan,MICHIGAN,,,,,,,0.189,,5037.0,Average
ricky_powers_michigan.mp4,678,,,,michigan,MICHIGAN,,,,,,,0.034,,5006.0,Average
ricky_powers_michigan.mp4,681,,,,michigan,MICHIGAN,,,,,,,0.328,,5065.0,Average
ricky_powers_michigan.mp4,683,,,,michigan,MICHIGAN,,,,,,,0.477,,5095.0,Average
ricky_powers_michigan.mp4,685,,,,michigan,MICHIGAN,,,,,,,0.024,,5004.0,Average
ricky_powers_michigan.mp4,693,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,696,,,,michigan,MICHIGAN,,,,,,,1.068,,5213.0,Average
ricky_powers_michigan.mp4,699,,,,michigan,MICHIGAN,,,,,,,0.983,,5196.0,Average
ricky_powers_michigan.mp4,701,,,,michigan,MICHIGAN,,,,,,,0.155,,5030.0,Average
ricky_powers_michigan.mp4,711,,,,michigan,MICHIGAN,,,,,,,,,5000.0,Average
ricky_powers_michigan.mp4,714,,,,michigan,MICHIGAN,,,,,,,0.828,,5165.0,Average
ricky_powers_michigan.mp4,715,,,,michigan,MICHIGAN,,,,,,,0.606,,5121.0,Average
ricky_powers_michigan.mp4,719,,,,michigan,MICHIGAN,,,,,,,2.462,,5492.0,Average
ricky_powers_michigan.mp4,723,,,,michigan,MICHIGAN,,,,,,,0.084,,5016.0,Average
ricky_powers_michigan.mp4,724,,,,michigan,MICHIGAN,,,,,,,0.023,,5004.0,Average
ricky_powers_michigan.mp4,727,,,,michigan,MICHIGAN,,,,,,,0.954,,5190.0,Average
ricky_powers_michigan.mp4,736,,,,michigan,MICHIGAN,,,,,,,0.019,,5003.0,Average
ricky_powers_michigan.mp4,743,,,,michigan,MICHIGAN,,,,,,,0.076,,5015.0,Average
ricky_powers_michigan.mp4,744,,,,michigan,MICHIGAN,,,,,,,0.618,,5123.0,Average
ricky_powers_michigan.mp4,747,,,,michigan,MICHIGAN,,,,,,,0.003,,5000.0,Average
ricky_powers_michigan.mp4,749,,,,michigan,MICHIGAN,,,,,,,0.161,,5032.0,Average
ricky_powers_michigan.mp4,755,,,,michigan,MICHIGAN,,,,,,,0.024,,5004.0,Average
ricky_powers_michigan.mp4,756,,,,michigan,MICHIGAN,,,,,,,0.234,,5046.0,Average
